UserID,total_payments,first_payment_date,last_payment_date,first_payment_amount,last_payment_amount
53,1,2022-08-15,2022-08-15,15.99,15.99
54,2,2022-06-26,2022-07-26,19.99,19.99
55,8,2022-04-09,2022-11-05,9.99,9.99
56,22,2022-02-05,2023-10-28,9.99,9.99
57,15,2022-04-06,2023-05-31,15.99,15.99
58,12,2022-06-01,2023-04-27,19.99,19.99
59,8,2022-05-31,2022-12-27,9.99,9.99
60,19,2022-07-09,2023-12-31,19.99,19.99
61,1,2022-08-12,2022-08-12,19.99,19.99
62,20,2022-02-06,2023-08-30,9.99,9.99
63,8,2022-09-25,2023-04-23,9.99,9.99
64,17,2022-07-02,2023-10-25,15.99,15.99
65,8,2022-01-13,2022-08-11,9.99,9.99
66,10,2022-10-06,2023-07-03,15.99,15.99
67,9,2022-08-05,2023-04-02,19.99,19.99
68,3,2022-12-21,2023-02-19,15.99,15.99
69,7,2022-12-27,2023-06-25,19.99,19.99
70,21,2022-10-13,2024-06-04,15.99,15.99
71,20,2022-09-30,2024-04-22,15.99,15.99
72,3,2022-03-03,2022-05-02,15.99,15.99
73,23,2022-03-25,2024-01-14,15.99,15.99
74,2,2022-08-05,2022-09-04,15.99,15.99
75,22,2022-12-08,2024-08-29,19.99,19.99
76,16,2022-07-06,2023-09-29,19.99,19.99
77,11,2022-01-19,2022-11-15,19.99,19.99
78,17,2022-06-26,2023-10-19,15.99,15.99
79,6,2022-04-10,2022-09-07,15.99,15.99
80,5,2022-08-21,2022-12-19,19.99,19.99
81,8,2022-03-17,2022-10-13,15.99,15.99
82,15,2022-09-22,2023-11-16,19.99,19.99
83,17,2022-10-11,2024-02-03,9.99,9.99
84,15,2022-07-25,2023-09-18,15.99,15.99
85,20,2022-08-11,2024-03-03,15.99,15.99
86,16,2022-02-21,2023-05-17,9.99,9.99
87,9,2022-12-05,2023-08-02,9.99,9.99
88,17,2022-05-24,2023-09-16,9.99,9.99
89,13,2022-03-10,2023-03-05,9.99,9.99
90,21,2022-04-09,2023-11-30,9.99,9.99
91,10,2022-01-25,2022-10-22,15.99,15.99
92,19,2022-02-22,2023-08-16,9.99,9.99
93,13,2022-05-31,2023-05-26,9.99,9.99
94,20,2022-05-24,2023-12-15,9.99,9.99
95,15,2022-02-26,2023-04-22,15.99,15.99
96,8,2022-02-08,2022-09-06,15.99,15.99
97,9,2022-04-19,2022-12-15,9.99,9.99
98,9,2022-06-30,2023-02-25,19.99,19.99
99,11,2022-02-11,2022-12-08,15.99,15.99
100,17,2022-07-05,2023-10-28,9.99,9.99
101,11,2022-08-11,2023-06-07,15.99,15.99
102,22,2022-05-02,2024-01-22,19.99,19.99
103,21,2022-05-13,2024-01-03,15.99,15.99
104,14,2022-06-12,2023-07-07,19.99,19.99
105,8,2022-08-03,2023-03-01,9.99,9.99
106,22,2022-08-09,2024-04-30,9.99,9.99
107,12,2022-08-23,2023-07-19,19.99,19.99
108,13,2022-11-27,2023-11-22,19.99,19.99
109,6,2022-05-26,2022-10-23,19.99,19.99
110,23,2022-08-27,2024-06-17,19.99,19.99
111,22,2022-03-17,2023-12-07,9.99,9.99
112,11,2022-01-09,2022-11-05,9.99,9.99
113,7,2022-03-15,2022-09-11,19.99,19.99
114,23,2022-09-10,2024-07-01,19.99,19.99
115,10,2022-08-18,2023-05-15,15.99,15.99
116,16,2022-01-07,2023-04-02,15.99,15.99
117,8,2022-06-23,2023-01-19,9.99,9.99
118,9,2022-05-21,2023-01-16,15.99,15.99
119,13,2022-06-17,2023-06-12,9.99,9.99
120,23,2022-06-19,2024-04-09,19.99,19.99
121,4,2022-10-10,2023-01-08,9.99,9.99
122,12,2022-05-02,2023-03-28,9.99,9.99
123,2,2022-07-13,2022-08-12,9.99,9.99
124,18,2022-01-05,2023-05-30,19.99,19.99
125,15,2022-01-29,2023-03-25,19.99,19.99
126,8,2022-06-14,2023-01-10,19.99,19.99
127,1,2022-12-05,2022-12-05,15.99,15.99
128,12,2022-05-16,2023-04-11,9.99,9.99
129,9,2022-12-31,2023-08-28,19.99,19.99
130,8,2022-11-17,2023-06-15,15.99,15.99
131,13,2022-12-08,2023-12-03,19.99,19.99
132,21,2022-05-25,2024-01-15,9.99,9.99
133,5,2022-11-23,2023-03-23,15.99,15.99
134,11,2022-08-05,2023-06-01,15.99,15.99
135,5,2022-10-28,2023-02-25,9.99,9.99
136,11,2022-05-12,2023-03-08,9.99,9.99
137,19,2022-10-19,2024-04-11,19.99,19.99
138,15,2022-03-11,2023-05-05,19.99,19.99
139,7,2022-09-09,2023-03-08,15.99,15.99
140,3,2022-10-02,2022-12-01,15.99,15.99
141,13,2022-12-30,2023-12-25,19.99,19.99
142,5,2022-07-01,2022-10-29,19.99,19.99
143,18,2022-06-16,2023-11-08,15.99,15.99
144,8,2022-04-01,2022-10-28,9.99,9.99
145,20,2022-07-21,2024-02-11,19.99,19.99
146,1,2022-12-12,2022-12-12,15.99,15.99
147,17,2022-01-19,2023-05-14,15.99,15.99
148,12,2022-02-08,2023-01-04,15.99,15.99
149,16,2022-05-06,2023-07-30,19.99,19.99
150,10,2022-06-22,2023-03-19,9.99,9.99
151,17,2022-05-21,2023-09-13,19.99,19.99
152,18,2022-08-30,2024-01-22,9.99,9.99
153,16,2022-08-08,2023-11-01,19.99,19.99
154,8,2022-05-06,2022-12-02,15.99,15.99
155,6,2022-02-27,2022-07-27,9.99,9.99
156,9,2022-05-28,2023-01-23,15.99,15.99
157,12,2022-11-13,2023-10-09,19.99,19.99
158,17,2022-12-27,2024-04-20,19.99,19.99
159,9,2022-01-01,2022-08-29,19.99,19.99
160,10,2022-12-14,2023-09-10,9.99,9.99
161,7,2022-07-09,2023-01-05,15.99,15.99
162,15,2022-07-10,2023-09-03,15.99,15.99
163,12,2022-11-08,2023-10-04,19.99,19.99
164,20,2022-04-27,2023-11-18,19.99,19.99
165,2,2022-05-14,2022-06-13,15.99,15.99
166,22,2022-02-27,2023-11-19,9.99,9.99
167,5,2022-02-13,2022-06-13,15.99,15.99
168,16,2022-06-22,2023-09-15,9.99,9.99
169,20,2022-06-09,2023-12-31,15.99,15.99
170,11,2022-06-22,2023-04-18,15.99,15.99
171,12,2022-11-13,2023-10-09,9.99,9.99
172,6,2022-10-30,2023-03-29,19.99,19.99
173,20,2022-05-29,2023-12-20,9.99,9.99
174,23,2022-03-21,2024-01-10,9.99,9.99
175,16,2022-08-01,2023-10-25,15.99,15.99
176,14,2022-07-22,2023-08-16,15.99,15.99
177,8,2022-09-09,2023-04-07,19.99,19.99
178,20,2022-08-17,2024-03-09,19.99,19.99
179,14,2022-06-13,2023-07-08,19.99,19.99
180,5,2022-08-15,2022-12-13,15.99,15.99
181,2,2022-05-27,2022-06-26,19.99,19.99
182,22,2022-01-20,2023-10-12,9.99,9.99
183,22,2022-02-16,2023-11-08,15.99,15.99
184,18,2022-08-21,2024-01-13,19.99,19.99
185,17,2022-11-01,2024-02-24,15.99,15.99
186,23,2022-01-14,2023-11-05,15.99,15.99
187,7,2022-05-23,2022-11-19,15.99,15.99
188,3,2022-01-01,2022-03-02,19.99,19.99
189,6,2022-02-23,2022-07-23,15.99,15.99
190,17,2022-09-16,2024-01-09,15.99,15.99
191,17,2022-05-24,2023-09-16,19.99,19.99
192,10,2022-01-12,2022-10-09,19.99,19.99
193,20,2022-11-26,2024-06-18,15.99,15.99
194,13,2022-08-12,2023-08-07,19.99,19.99
195,17,2022-09-29,2024-01-22,19.99,19.99
196,23,2022-12-24,2024-10-14,15.99,15.99
197,11,2022-06-05,2023-04-01,15.99,15.99
198,6,2022-01-08,2022-06-07,19.99,19.99
199,9,2022-05-02,2022-12-28,15.99,15.99
200,15,2022-12-14,2024-02-07,15.99,15.99
